"Type","ID","Message Text","Source File","Definition in Code"
"DMsg","onset of darkness","\n{I} {am} plunged into darkness.","action.t","DMsg(onset of darkness, '\n{I} {am} plunged into darkness. ');"
"DMsg","remap error","<b>ERROR!</b> The long form of remap is no longer available; please use a Doer instead.","action.t","DMsg(remap error, '<b>ERROR!</b> The long form of remap is no longer available; please use a Doer instead. ');"
"DMsg","command not present","<.parser>That command isn&rsquo;t needed in this story.<./parser>","action.t","DMsg(command not present, '<.parser>That command isn&rsquo;t needed in this story.<./parser> ');"
"DMsg","acknowledge notify status","<.parser>Score notifications are now <<stat ? 'on' : 'off'>>.<./parser>","action.t","DMsg(acknowledge notify status, '<.parser>Score notifications are now <<stat ? 'on' : 'off'>>.<./parser> ');"
"DMsg","all not allowed","Sorry; ALL is not allowed with this command.","action.t","DMsg(all not allowed, 'Sorry; ALL is not allowed with this command. ');"
"DMsg","quit query","<.p>Do you really want to quit? (y/n)?\n>","actions.t","DMsg(quit query, '<.p>Do you really want to quit? (y/n)?\n>');"
"DMsg","undo okay","One turn undone: {1}', libGlobal.lastCommandForUndo","actions.t","DMsg(undo okay, 'One turn undone: {1}', libGlobal.lastCommandForUndo);"
"DMsg","undo failed","Undo failed.","actions.t","DMsg(undo failed, 'Undo failed. ');"
"DMsg","restart query","Do you really want to start again from the beginning (y/n)?\n>","actions.t","DMsg(restart query, 'Do you really want to start again from the beginning (y/n)?\n>');"
"DMsg","exit color onoff","Okay, colouring of unvisited exits is now {1}.<.p>', cmd.verbProd.on_","actions.t","DMsg(exit color onoff, 'Okay, colouring of unvisited exits is now {1}.<.p>', cmd.verbProd.on_);"
"DMsg","exit color change","Okay, unvisited exits in the status line will now be shown in {1}. ', cmd.verbProd.colour_","actions.t","DMsg(exit color change, 'Okay, unvisited exits in the status line will now be shown in {1}. ', cmd.verbProd.colour_);"
"DMsg","no exit lister","Sorry, that command is not available in this game, since there\'s no exit lister.","actions.t","DMsg(no exit lister, 'Sorry, that command is not available in this game, since there\'s no exit lister. '); "
"DMsg","score not present","<.parser>This story doesn&rsquo;t use scoring.<./parser>","actions.t","DMsg(score not present, '<.parser>This story doesn&rsquo;t use scoring.<./parser> '); "
"DMsg","show notify status","<.parser>Score notifications are currently <<stat ? 'on' : 'off'>>.<./parser>","actions.t","DMsg(show notify status, '<.parser>Score notifications are currently <<stat ? 'on' : 'off'>>.<./parser> ');"
"DMsg","hints not present","<.parser>Sorry, this story doesn&rsquo;t have any built-in hints.<./parser>","actions.t","DMsg(hints not present, '<.parser>Sorry, this story doesn&rsquo;t have any built-in hints.<./parser> ');"
"DMsg","no hints to disable","<.parser>This game doesn\'t have any hints to turn off.<./parser>","actions.t","DMsg(no hints to disable, '<.parser>This game doesn\'t have any hints to turn off.<./parser> ');"
"DMsg","no extra hints","Sorry, there are no extra hints in this game.","actions.t","DMsg(no extra hints, 'Sorry, there are no extra hints in this game. ');"
"DMsg","extra hints status","Extra hints are currently <<onOrOff(extraHintsActive)>>. To turn them <<onOrOff(!extraHintsActive)>> use the command <<aHref(cmd, cmd, 'Turn extra hints ' + onOrOff(!extraHintsActive))>>.","actions.t","DMsg(extra hints status, 'Extra hints are currently <<onOrOff(extraHintsActive)>>. To turn them <<onOrOff(!extraHintsActive)>> use the command <<aHref(cmd, cmd, 'Turn extra hints ' + onOrOff(!extraHintsActive))>>. ');"
"DMsg","extra hints on or off","Okay; extra hints are now {1}. ', onOff","actions.t","DMsg(extra hints on or off, 'Okay; extra hints are now {1}. ', onOff );"
"DMsg","game now brief","The game is now in BRIEF mode. <<first time>>Full room descriptions will now only be shown on the first visit to a room or in response to an explict <<aHref('LOOK', 'LOOK', 'Look around')>> command.<<only>>","actions.t","DMsg(game now brief, 'The game is now in BRIEF mode. <<first time>>Full room descriptions will now only be shown on the first visit to a room or in response to an explict <<aHref('LOOK', 'LOOK', 'Look around')>> command.<<only>> ');"
"DMsg","game already brief","The game is already in BRIEF mode.","actions.t","DMsg(game already brief, 'The game is already in BRIEF mode. ');"
"DMsg","game already verbose","The game is already in VERBOSE mode.","actions.t","DMsg(game already verbose, 'The game is already in VERBOSE mode. '); "
"DMsg","game now brief","The game is now in VERBOSE mode. <<first time>>Full room descriptions be shown each time a room is visited.<<only>>","actions.t","DMsg(game now brief, 'The game is now in VERBOSE mode. <<first time>>Full room descriptions be shown each time a room is visited.<<only>> ');"
"DMsg","wait","Time {dummy} pass{es/ed}.","actions.t","DMsg(wait, 'Time {dummy} pass{es/ed}. ');"
"DMsg","jump","{I} jump{s/ed} on the spot, fruitlessly.","actions.t","DMsg(jump, '{I} jump{s/ed} on the spot, fruitlessly. ');"
"DMsg","yell","{I} shout{s/ed} very loudly.","actions.t","DMsg(yell, '{I} shout{s/ed} very loudly. ');"
"DMsg","smell nothing intransitive","{I} {smell} nothing out of the ordinary.<.p>","actions.t","DMsg(smell nothing intransitive, '{I} {smell} nothing out of the ordinary.<.p>');"
"DMsg","hear nothing listen","{I} hear{s/d} nothing out of the ordinary.<.p>","actions.t","DMsg(hear nothing listen, '{I} hear{s/d} nothing out of the ordinary.<.p>');"
"DMsg","no sleeping","This {dummy} {is} no time for sleeping.","actions.t","DMsg(no sleeping, 'This {dummy} {is} no time for sleeping. ');"
"DMsg","already standing","{I} {am} standing.","actions.t","DMsg(already standing, '{I} {am} standing. ');"
"DMsg","vague travel","Which way do you want to go?","actions.t","DMsg(vague travel, 'Which way do you want to go? '); "
"DMsg","nowhere back","{I} {have} nowhere to go back to.","actions.t","DMsg(nowhere back, '{I} {have} nowhere to go back to. ');"
"DMsg","no way back","There{dummy}{\'s} no way back.","actions.t","DMsg(no way back, 'There{dummy}{\'s} no way back. ');"
"DMsg","already back there","{I}{\'m} already there.","actions.t","DMsg(already back there, '{I}{\'m} already there. ');"
"DMsg","going back dir","(going {1})\n', dir.name","actions.t","DMsg(going back dir, '(going {1})\n', dir.name);"
"DMsg","no journey","{I}{\'m} not going anywhere.","actions.t","DMsg(no journey, '{I}{\'m} not going anywhere. ');"
"DMsg","off route","{I}{\'m} no longer on {my} route. Use the GO TO command to set up a new route.","actions.t","DMsg(off route, '{I}{\'m} no longer on {my} route. Use the GO TO command to set up a new route. ');"
"DMsg","going dir","(going {1})\n', dir.name","actions.t","DMsg(going dir, '(going {1})\n', dir.name);"
"DMsg","no interlocutor","{I}{\'m} not talking to anyone.","actions.t","DMsg(no interlocutor, '{I}{\'m} not talking to anyone. ');"
"DMsg","nothing to take","There{dummy}{\'s} nothing available to take from {1}. ', gCommand.iobj.theName","actions.t","DMsg(nothing to take, 'There{dummy}{\'s} nothing available to take from {1}. ', gCommand.iobj.theName);"
"DMsg","not on anything","{I}{\'m} not on anything.","actions.t","DMsg(not on anything, '{I}{\'m} not on anything. ');"
"DMsg","not talking","{I}{\'m} not talking to anyone.","actions.t","DMsg(not talking, '{I}{\'m} not talking to anyone. ');"
"DMsg","no one here","There{dummy}{\'s} no one {here} to talk to.","actions.t","DMsg(no one here, 'There{dummy}{\'s} no one {here} to talk to. ');"
"DMsg","already talking","{I}{\'m} already talking to {1}. ', gPlayerChar.currentInterlocutor.theName","actions.t","DMsg(already talking, '{I}{\'m} already talking to {1}. ', gPlayerChar.currentInterlocutor.theName);"
"DMsg","think","{I} {think}, therefore {i} {am}.","actions.t","DMsg(think, '{I} {think}, therefore {i} {am}. ');"
"DMsg","scripting canceled","<.parser>Canceled.<./parser>","actions.t","DMsg(scripting canceled, '<.parser>Canceled.<./parser>'); }"
"DMsg","scripting failed exception","<.parser>Failed; ","actions.t","DMsg(scripting failed exception, '<.parser>Failed; "
"DMsg","scripting failed","<.parser>Failed; an error occurred opening the script file.<./parser>","actions.t","DMsg(scripting failed, '<.parser>Failed; an error occurred opening the script file.<./parser> ');"
"DMsg","script off ignored","<.parser>No script is currently being recorded.<./parser>","actions.t","DMsg(script off ignored, '<.parser>No script is currently being recorded.<./parser>');"
"DMsg","script off okay","<.parser>Scripting ended.<./parser>","actions.t","DMsg(script off okay, '<.parser>Scripting ended.<./parser>');"
"DMsg","recording canceled","<.parser>Canceled.<./parser>","actions.t","DMsg(recording canceled, '<.parser>Canceled.<./parser> '); }"
"DMsg","recording failed exception","<.parser>Failed; ","actions.t","DMsg(recording failed exception, '<.parser>Failed; "
"DMsg","recording failed","<.parser>Failed; an error occurred opening the command recording file.<./parser>","actions.t","DMsg(recording failed, '<.parser>Failed; an error occurred opening the command recording file.<./parser>');"
"DMsg","record off ignored","<.parser>No command recording is currently being made.<./parser>","actions.t","DMsg(record off ignored, '<.parser>No command recording is currently being made.<./parser> ');"
"DMsg","record off okay","<.parser>Command recording ended.<./parser>","actions.t","DMsg(record off okay, '<.parser>Command recording ended.<./parser> ');"
"DMsg","replay canceled","<.parser>Canceled.<./parser>","actions.t","DMsg(replay canceled, '<.parser>Canceled.<./parser> '); }"
"DMsg","input script failed exception","<.parser>Failed; ","actions.t","DMsg(input script failed exception, '<.parser>Failed; "
"DMsg","input script failed","<.parser>Failed; the script input file could not be opened.<./parser>","actions.t","DMsg(input script failed, '<.parser>Failed; the script input file could not be opened.<./parser>');"
"DMsg","input script okay","<.parser>Reading commands from <q><< File.getRootName(fname).htmlify()>></q>...<./parser>\n","actions.t","DMsg(input script okay, '<.parser>Reading commands from <q><< File.getRootName(fname).htmlify()>></q>...<./parser>\n ');"
"DMsg","save cancelled","<.parser>Canceled.<./parser>","actions.t","DMsg(save cancelled, '<.parser>Canceled.<./parser> '); }"
"DMsg","save failed on server","<.parser>Failed, because of a problem accessing the storage server: <<makeSentence(sse.errMsg)>><./parser>","actions.t","DMsg(save failed on server, '<.parser>Failed, because of a problem accessing the storage server: <<makeSentence(sse.errMsg)>><./parser>');"
"DMsg","save failed","<.parser>Failed; your computer might be running low on disk space, or you might not have the necessary permissions to write this file.<./parser>","actions.t","DMsg(save failed, '<.parser>Failed; your computer might be running low on disk space, or you might not have the necessary permissions to write this file.<./parser>'); "
"DMsg","save okay","<.parser>Saved.<./parser>","actions.t","DMsg(save okay, '<.parser>Saved.<./parser> ');"
"DMsg","restore canceled","<.parser>Canceled.<./parser>","actions.t","DMsg(restore canceled, '<.parser>Canceled.<./parser> '); "
"DMsg","restore failed on server","<.parser>Failed, because of a problem accessing the storage server: <<makeSentence(sse.errMsg)>><./parser>","actions.t","DMsg(restore failed on server,'<.parser>Failed, because of a problem accessing the storage server: <<makeSentence(sse.errMsg)>><./parser>'); "
"DMsg","restore invalid file","<.parser>Failed: this is not a valid saved position file.<./parser>","actions.t","DMsg(restore invalid file, '<.parser>Failed: this is not a valid saved position file.<./parser> '); "
"DMsg","restore invalid match","<.parser>Failed: the file was not saved by this story (or was saved by an incompatible version of the story).<./parser>","actions.t","DMsg(restore invalid match, '<.parser>Failed: the file was not saved by this story (or was saved by an incompatible version of the story).<./parser> '); "
"DMsg","restore corrupted file","<.parser>Failed: this saved state file appears to be corrupted. This can occur if the file was modified by another program, or the file was copied between computers in a non-binary transfer mode, or the physical media storing the file were damaged.<./parser>","actions.t","DMsg(restore corrupted file, '<.parser>Failed: this saved state file appears to be corrupted. This can occur if the file was modified by another program, or the file was copied between computers in a non-binary transfer mode, or the physical media storing the file were damaged.<./parser> '); "
"DMsg","restore failed","<.parser>Failed: the position could not be restored.<./parser>","actions.t","DMsg(restore failed, '<.parser>Failed: the position could not be restored.<./parser>'); "
"DMsg","restore okay","<.parser>Restored.<./parser>","actions.t","DMsg(restore okay, '<.parser>Restored.<./parser> ');"
"DMsg","file prompt failed","<.parser>A system error occurred asking for a filename. Your computer might be running low on memory, or might have a configuration problem.<./parser>","actions.t","DMsg(file prompt failed, '<.parser>A system error occurred asking for a filename. Your computer might be running low on memory, or might have a configuration problem.<./parser> ');"
"DMsg","file prompt failed msg","<.parser>Failed: <<makeSentence(msg)>><./parser>","actions.t","DMsg(file prompt failed msg, '<.parser>Failed: <<makeSentence(msg)>><./parser> ');"
"DMsg","no repeat","Sorry, there is no action available to repeat.","actions.t","DMsg(no repeat, 'Sorry, there is no action available to repeat. ');"
"DMsg","actor here","\^<<theNameIs>> {here}.","actor.t","DMsg(actor here, '\^<<theNameIs>> {here}. ');"
"DMsg","actor in location","\^<<theNameIs>> <<location.objInName>>.","actor.t","DMsg(actor in location, '\^<<theNameIs>> <<location.objInName>>. '); 		"
"DMsg","actor in remote location","\^<<theNameIs>> <<getOutermostRoom.inRoomName(pov)>>.","actor.t","DMsg(actor in remote location, '\^<<theNameIs>> <<getOutermostRoom.inRoomName(pov)>>. ');"
"DMsg","cannot command system action","Only the player can carry out that kind of command.","actor.t","DMsg(cannot command system action, 'Only the player can carry out that kind of command. ');"
"DMsg","follow","<.p>{The follower} follow{s/ed} behind {the pc}.","actor.t","DMsg(follow, '<.p>{The follower} follow{s/ed} behind {the pc}. ');"
"DMsg","actor arriving","{The subj traveler} arrive{s/d} in the area.","actor.t","DMsg(actor arriving, '{The subj traveler} arrive{s/d} in the area. ');"
"DMsg","not interlocutor","{I}{\'m} not talking to {1}. ', theName","actor.t","DMsg(not interlocutor, '{I}{\'m} not talking to {1}. ', theName);"
"DMsg","catch okay","{The subj iobj} {catches} {the obj}.","actor.t","DMsg(catch okay, '{The subj iobj} {catches} {the obj}. ');"
"DMsg","drop catch","{The subj iobj} fail{s/ed} to catch {the obj}, so that {he obj} land{s/ed} on the ground instead.","actor.t","DMsg(drop catch, '{The subj iobj} fail{s/ed} to catch {the obj}, so that {he obj} land{s/ed} on the ground instead. ');"
"DMsg","say head after actor","{I} head{s/ed} off {1} after {2}. ', conn.traversalMsg, theName","actor.t","DMsg(say head after actor, '{I} head{s/ed} off {1} after {2}. ', conn.traversalMsg, theName);"
"DMsg","state follow","{The follower} follow{s/ed} behind {the pc}.","actor.t","DMsg(state follow, '{The follower} follow{s/ed} behind {the pc}. ');"
"DMsg","nothing to discuss on that topic","{I} {have} nothing to discuss on that topic just {then}.","actor.t","DMsg(nothing to discuss on that topic, '{I} {have} nothing to discuss on that topic just {then}. '); "
"DMsg","waiting for follow","{The subj myactor} {is} waiting for {the pc} {dummy} to follow {him myactor} {1}. ', nd.departureName","actor.t","DMsg(waiting for follow, '{The subj myactor} {is} waiting for {the pc} {dummy} to follow {him myactor} {1}. ', nd.departureName);"
"DMsg","actor is here","{The subj myactor} {is} {here}.","actor.t","DMsg(actor is here, '{The subj myactor} {is} {here}. '); "
"DMsg","suggestion list intro","{I} could","actor.t","DMsg(suggestion list intro, '{I} could ');"
"DMsg","nothing in mind","{I} {have} nothing in mind to discuss with {1} just {then}. ', gPlayerChar.currentInterlocutor.theObjName","actor.t","DMsg(nothing in mind, '{I} {have} nothing in mind to discuss with {1} just {then}. ', gPlayerChar.currentInterlocutor.theObjName);"
"DMsg","ask query","ask {him interlocutor}","actor.t","DMsg(ask query, 'ask {him interlocutor} ');"
"DMsg","ask about","ask {him interlocutor} about","actor.t","DMsg(ask about, 'ask {him interlocutor} about ');"
"DMsg","tell about","tell {him interlocutor} about","actor.t","DMsg(tell about, 'tell {him interlocutor} about ');"
